V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11
3;3;3;3;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
2;4;4;4;2;2;2;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;2;2;2;2;2;2;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;2;2;2;2;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
2;2;2;2;2;2;2;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;2;2;2;3;2;2;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;2;2;2;2;2;2;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;2;2;2;3;3;4;4;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;2;2;2;3;3;3;3;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;2;2;2;2;2;2;3;5;5;5
2;4;4;4;2;2;2;3;5;4;4
3;2;2;2;3;2;2;3;5;4;4
3;3;3;3;3;3;3;3;5;4;4
3;3;3;3;3;3;3;3;5;4;4
3;3;3;3;3;3;3;3;5;4;4
3;3;2;2;2;2;3;3;5;4;4
3;3;2;2;2;2;3;3;5;4;4
2;2;2;2;2;2;4;4;5;5;5
2;2;2;2;2;2;4;4;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;4;4;4;2;2;2;3;5;5;5
3;3;3;3;3;3;3;3;5;4;4
2;2;2;2;2;2;4;4;5;4;4
3;3;3;2;2;2;2;2;5;4;4
2;2;2;2;2;2;2;3;5;4;4
3;3;3;3;3;3;3;3;5;4;4
3;3;3;3;3;3;3;3;5;4;4
3;3;2;2;2;2;3;3;5;4;4
3;3;2;2;2;2;3;3;5;4;4
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;2;2;2;2;2;2;3;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;2;2;2;2;2;4;4;5;5;5
3;2;2;2;3;3;4;4;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;3;3;3;3;5;5;5
2;2;2;2;2;2;2;3;5;5;5
3;3;2;2;2;2;3;3;4;4;5
3;3;3;3;3;3;3;3;4;4;5
3;3;3;3;3;3;3;3;4;4;5
3;3;3;3;3;3;3;3;4;4;5
3;3;3;3;3;3;3;3;4;4;5
2;2;2;2;2;2;2;3;5;5;5
3;2;2;2;3;3;4;4;5;5;5
3;3;3;2;2;2;2;2;5;5;5
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;2;2;2;2
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;2;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;2;2;2;2
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;2;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;2;2;2;2
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;4;4;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;2;2;2
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;5;5;3;3;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;2;2;2;4;4;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;2;2;2;2;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;2;2;2;4;4;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;4;4;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;4;4;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;2;2;2;2;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;2;2;2;4;4;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
3;3;3;3;3;3;5;5;3;3;3
